"券商","買進","賣出","買賣超","佔成交比重","日期"
"美林","48","7","41","8.49%","2017-7-31"
"日盛-大墩","0","73","73","15.11%","2017-7-31"
"瑞士信貸","29","0","29","6%","2017-7-31"
"華南永昌","2","26","24","4.97%","2017-7-31"
"臺銀-臺南","27","0","27","5.59%","2017-7-31"
"日盛-園區","0","20","20","4.14%","2017-7-31"
"臺銀-民權","23","0","23","4.76%","2017-7-31"
"玉山-士林","0","20","20","4.14%","2017-7-31"
"德信-中正","15","0","15","3.11%","2017-7-31"
"統一-桃園","0","12","12","2.48%","2017-7-31"
"亞東","13","0","13","2.69%","2017-7-31"
"凱基-台北","0","11","11","2.28%","2017-7-31"
"兆豐-板橋","16","5","11","2.28%","2017-7-31"
"盈溢-籬子內","0","10","10","2.07%","2017-7-31"
"富邦-建國","10","0","10","2.07%","2017-7-31"
"大昌-安康","0","10","10","2.07%","2017-7-31"
"元大-沙鹿","10","0","10","2.07%","2017-7-31"
"國票-台東","0","10","10","2.07%","2017-7-31"
"元大-苑裡","10","0","10","2.07%","2017-7-31"
"玉山-高雄","0","10","10","2.07%","2017-7-31"
"元大-中和","10","0","10","2.07%","2017-7-31"
"富邦-敦南","0","10","10","2.07%","2017-7-31"
"大慶-富順","9","0","9","1.86%","2017-7-31"
"元大-南屯","0","10","10","2.07%","2017-7-31"
"元富-大昌","10","1","9","1.86%","2017-7-31"
"中國信託","0","8","8","1.66%","2017-7-31"
"康和-高雄","8","0","8","1.66%","2017-7-31"
"德信-台北(停)","0","8","8","1.66%","2017-7-31"
"港商德意志","8","1","7","1.45%","2017-7-31"
"富邦-世貿","0","8","8","1.66%","2017-7-31"
"台中銀-復興","48","7","41","8.49%","2017-8-1"
"港商德意志","0","73","73","15.11%","2017-8-1"
"國票-嘉義","29","0","29","6%","2017-8-1"
"港商野村","2","26","24","4.97%","2017-8-1"
"兆豐-內湖","27","0","27","5.59%","2017-8-1"
"元大-復北","0","20","20","4.14%","2017-8-1"
"臺銀-民權","23","0","23","4.76%","2017-8-1"
"中國信託-忠孝","0","20","20","4.14%","2017-8-1"
"新光","15","0","15","3.11%","2017-8-1"
"美林","0","12","12","2.48%","2017-8-1"
"富邦-台南","13","0","13","2.69%","2017-8-1"
"兆豐-板橋","0","11","11","2.28%","2017-8-1"
"兆豐-桃鶯","16","5","11","2.28%","2017-8-1"
"第一金-台中","0","10","10","2.07%","2017-8-1"
"聯邦-高雄","10","0","10","2.07%","2017-8-1"
"鑫豐","0","10","10","2.07%","2017-8-1"
"元富-城東","10","0","10","2.07%","2017-8-1"
"福勝","0","10","10","2.07%","2017-8-1"
"摩根大通","10","0","10","2.07%","2017-8-1"
"台灣企銀","0","10","10","2.07%","2017-8-1"
"元大-佳里","10","0","10","2.07%","2017-8-1"
"統一-新竹","0","10","10","2.07%","2017-8-1"
"永豐金","9","0","9","1.86%","2017-8-1"
"永豐金-敦南","0","10","10","2.07%","2017-8-1"
"兆豐-員林","10","1","9","1.86%","2017-8-1"
"元大-竹東","0","8","8","1.66%","2017-8-1"
"臺銀-臺南","8","0","8","1.66%","2017-8-1"
"元大-開元","0","8","8","1.66%","2017-8-1"
"臺銀-新竹","8","1","7","1.45%","2017-8-1"
"日盛-大墩","0","8","8","1.66%","2017-8-1"
"國票-嘉義","48","7","41","8.49%","2017-8-2"
"美商高盛","0","73","73","15.11%","2017-8-2"
"台中銀-復興","29","0","29","6%","2017-8-2"
"新加坡商瑞銀","2","26","24","4.97%","2017-8-2"
"臺銀-臺南","27","0","27","5.59%","2017-8-2"
"美林","0","20","20","4.14%","2017-8-2"
"玉山-板橋","23","0","23","4.76%","2017-8-2"
"元大-復北","0","20","20","4.14%","2017-8-2"
"元大-鑫永和","15","0","15","3.11%","2017-8-2"
"國泰-忠孝","0","12","12","2.48%","2017-8-2"
"新光","13","0","13","2.69%","2017-8-2"
"臺銀-鳳山","0","11","11","2.28%","2017-8-2"
"合庫- 台中","16","5","11","2.28%","2017-8-2"
"中國信託-雙和","0","10","10","2.07%","2017-8-2"
"元大-內湖","10","0","10","2.07%","2017-8-2"
"永豐金-南京","0","10","10","2.07%","2017-8-2"
"元富-大昌","10","0","10","2.07%","2017-8-2"
"元大-沙鹿","0","10","10","2.07%","2017-8-2"
"群益金鼎-三民","10","0","10","2.07%","2017-8-2"
"富邦-經紀","0","10","10","2.07%","2017-8-2"
"群益金鼎-嘉義","10","0","10","2.07%","2017-8-2"
"統一-汐止","0","10","10","2.07%","2017-8-2"
"元大-嘉義","9","0","9","1.86%","2017-8-2"
"富邦-中壢","0","10","10","2.07%","2017-8-2"
"統一-豐原","10","1","9","1.86%","2017-8-2"
"大昌-樹林","0","8","8","1.66%","2017-8-2"
"玉山","8","0","8","1.66%","2017-8-2"
"凱基-桃園","0","8","8","1.66%","2017-8-2"
"富邦-園區","8","1","7","1.45%","2017-8-2"
"元大-南崁","0","8","8","1.66%","2017-8-2"
