"券商","買進","賣出","買賣超","佔成交比重","日期"
"日盛-大墩","0","73","73","15.11%","2017-7-31"
"華南永昌","2","26","24","4.97%","2017-7-31"
"日盛-園區","0","20","20","4.14%","2017-7-31"
"玉山-士林","0","20","20","4.14%","2017-7-31"
"統一-桃園","0","12","12","2.48%","2017-7-31"
"凱基-台北","0","11","11","2.28%","2017-7-31"
"盈溢-籬子內","0","10","10","2.07%","2017-7-31"
"大昌-安康","0","10","10","2.07%","2017-7-31"
"國票-台東","0","10","10","2.07%","2017-7-31"
"玉山-高雄","0","10","10","2.07%","2017-7-31"
"富邦-敦南","0","10","10","2.07%","2017-7-31"
"元大-南屯","0","10","10","2.07%","2017-7-31"
"中國信託","0","8","8","1.66%","2017-7-31"
"德信-台北(停)","0","8","8","1.66%","2017-7-31"
"富邦-世貿","0","8","8","1.66%","2017-7-31"
"港商德意志","0","73","73","15.11%","2017-8-1"
"港商野村","2","26","24","4.97%","2017-8-1"
"元大-復北","0","20","20","4.14%","2017-8-1"
"中國信託-忠孝","0","20","20","4.14%","2017-8-1"
"美林","0","12","12","2.48%","2017-8-1"
"兆豐-板橋","0","11","11","2.28%","2017-8-1"
"第一金-台中","0","10","10","2.07%","2017-8-1"
"鑫豐","0","10","10","2.07%","2017-8-1"
"福勝","0","10","10","2.07%","2017-8-1"
"台灣企銀","0","10","10","2.07%","2017-8-1"
"統一-新竹","0","10","10","2.07%","2017-8-1"
"永豐金-敦南","0","10","10","2.07%","2017-8-1"
"元大-竹東","0","8","8","1.66%","2017-8-1"
"元大-開元","0","8","8","1.66%","2017-8-1"
"日盛-大墩","0","8","8","1.66%","2017-8-1"
"美商高盛","0","73","73","15.11%","2017-8-2"
"新加坡商瑞銀","2","26","24","4.97%","2017-8-2"
"美林","0","20","20","4.14%","2017-8-2"
"元大-復北","0","20","20","4.14%","2017-8-2"
"國泰-忠孝","0","12","12","2.48%","2017-8-2"
"臺銀-鳳山","0","11","11","2.28%","2017-8-2"
"中國信託-雙和","0","10","10","2.07%","2017-8-2"
"永豐金-南京","0","10","10","2.07%","2017-8-2"
"元大-沙鹿","0","10","10","2.07%","2017-8-2"
"富邦-經紀","0","10","10","2.07%","2017-8-2"
"統一-汐止","0","10","10","2.07%","2017-8-2"
"富邦-中壢","0","10","10","2.07%","2017-8-2"
"大昌-樹林","0","8","8","1.66%","2017-8-2"
"凱基-桃園","0","8","8","1.66%","2017-8-2"
"元大-南崁","0","8","8","1.66%","2017-8-2"
"美商高盛","0","73","73","15.11%","2017-8-3"
"群益金鼎-三民","2","26","24","4.97%","2017-8-3"
"安泰","0","20","20","4.14%","2017-8-3"
"凱基-三峽","0","20","20","4.14%","2017-8-3"
"群益金鼎-永和","0","12","12","2.48%","2017-8-3"
"凱基-新店","0","11","11","2.28%","2017-8-3"
"凱基-延平","0","10","10","2.07%","2017-8-3"
"富邦-經紀","0","10","10","2.07%","2017-8-3"
"亞東-台南","0","10","10","2.07%","2017-8-3"
"凱基-市府","0","10","10","2.07%","2017-8-3"
"元大-屏南","0","10","10","2.07%","2017-8-3"
"永豐金-南京","0","10","10","2.07%","2017-8-3"
"國票-北高雄","0","8","8","1.66%","2017-8-3"
"元富-新竹","0","8","8","1.66%","2017-8-3"
"群益金鼎-彰化","0","8","8","1.66%","2017-8-3"
"美商高盛","0","73","73","15.11%","2017-8-4"
"新加坡商瑞銀","2","26","24","4.97%","2017-8-4"
"凱基-台北","0","20","20","4.14%","2017-8-4"
"康和","0","20","20","4.14%","2017-8-4"
"統一","0","12","12","2.48%","2017-8-4"
"富邦-經紀","0","11","11","2.28%","2017-8-4"
"永豐金-彰化","0","10","10","2.07%","2017-8-4"
"群益金鼎-海山","0","10","10","2.07%","2017-8-4"
"群益金鼎-屏東","0","10","10","2.07%","2017-8-4"
"元富-烏日","0","10","10","2.07%","2017-8-4"
"元富-花蓮","0","10","10","2.07%","2017-8-4"
"玉山","0","10","10","2.07%","2017-8-4"
"凱基-城中","0","8","8","1.66%","2017-8-4"
"美林","0","8","8","1.66%","2017-8-4"
"瑞士信貸","0","8","8","1.66%","2017-8-4"
"美商高盛","0","73","73","15.11%","2017-8-7"
"新加坡商瑞銀","2","26","24","4.97%","2017-8-7"
"台中銀-復興","0","20","20","4.14%","2017-8-7"
"統一-敦南","0","20","20","4.14%","2017-8-7"
"美林","0","12","12","2.48%","2017-8-7"
"國票-台東","0","11","11","2.28%","2017-8-7"
"元大-前金","0","10","10","2.07%","2017-8-7"
"元大-經紀部","0","10","10","2.07%","2017-8-7"
"(牛牛牛)亞-網路","0","10","10","2.07%","2017-8-7"
"康和","0","10","10","2.07%","2017-8-7"
"統一","0","10","10","2.07%","2017-8-7"
"元大-桃園","0","10","10","2.07%","2017-8-7"
"統一-古亭","0","8","8","1.66%","2017-8-7"
"元富-新興","0","8","8","1.66%","2017-8-7"
"永豐金-敦南","0","8","8","1.66%","2017-8-7"
"港商德意志","0","73","73","15.11%","2017-8-8"
"凱基-中港","2","26","24","4.97%","2017-8-8"
"元富-四維","0","20","20","4.14%","2017-8-8"
"永豐金","0","20","20","4.14%","2017-8-8"
"統一","0","12","12","2.48%","2017-8-8"
"瑞士信貸","0","11","11","2.28%","2017-8-8"
"摩根大通","0","10","10","2.07%","2017-8-8"
"富邦-經紀","0","10","10","2.07%","2017-8-8"
"台新-新板","0","10","10","2.07%","2017-8-8"
"日盛-頭份","0","10","10","2.07%","2017-8-8"
"凱基-東勢","0","10","10","2.07%","2017-8-8"
"聯邦-高雄","0","10","10","2.07%","2017-8-8"
"兆豐-台南","0","8","8","1.66%","2017-8-8"
"玉山-雙和","0","8","8","1.66%","2017-8-8"
"元大-淡水","0","8","8","1.66%","2017-8-8"
"元大-中和","0","73","73","15.11%","2017-8-9"
"統一-敦南","2","26","24","4.97%","2017-8-9"
"新加坡商瑞銀","0","20","20","4.14%","2017-8-9"
"港商德意志","0","20","20","4.14%","2017-8-9"
"美商高盛","0","12","12","2.48%","2017-8-9"
"富邦-員林","0","11","11","2.28%","2017-8-9"
"港商野村","0","10","10","2.07%","2017-8-9"
